iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
476,385.03,0.8089,80502.72,80887.74
477,386.27,0.8098,80592.63,80978.90
478,386.92,0.8095,80558.55,80945.47
479,387.58,0.8091,80526.69,80914.26
480,388.23,0.8088,80492.38,80880.61
481,389.50,0.8098,80586.92,80976.42
482,390.16,0.8095,80556.51,80946.67
483,390.81,0.8091,80523.05,80913.86
484,391.47,0.8088,80490.59,80882.06
485,392.76,0.8098,80588.50,80981.26
486,393.42,0.8095,80556.47,80949.89
487,394.07,0.8092,80523.81,80917.88
488,394.71,0.8088,80487.50,80882.21
489,396.01,0.8098,80588.04,80984.05
490,396.66,0.8095,80555.09,80951.76
491,397.31,0.8092,80521.00,80918.31
492,397.96,0.8089,80489.18,80887.15
493,399.26,0.8099,80586.54,80985.80
494,399.93,0.8096,80557.32,80957.25
495,400.59,0.8093,80527.46,80928.05
496,401.23,0.8089,80492.64,80893.87
497,402.54,0.8099,80591.98,80994.52
498,403.19,0.8096,80557.69,80960.88
499,403.84,0.8093,80526.57,80930.41
500,405.07,0.8101,80608.66,81013.73
501,405.72,0.8098,80577.26,80982.98
502,406.38,0.8095,80545.52,80951.90
503,407.02,0.8092,80511.18,80918.20
504,408.27,0.8101,80597.39,81005.65
505,408.94,0.8098,80569.43,80978.37
506,409.61,0.8095,80540.51,80950.12
507,410.26,0.8092,80508.47,80918.73
508,411.49,0.8100,80591.36,81002.86
509,412.16,0.8098,80562.90,80975.07
510,412.83,0.8095,80534.00,80946.83
511,413.49,0.8092,80504.13,80917.62
512,414.72,0.8100,80585.91,81000.63
513,415.36,0.8097,80551.62,80966.98
514,416.04,0.8094,80525.33,80941.37
515,416.69,0.8091,80494.22,80910.91
516,417.95,0.8100,80579.83,80997.78
517,418.60,0.8097,80548.39,80966.99
518,419.27,0.8094,80520.51,80939.78
519,419.93,0.8091,80491.96,80911.90
520,421.20,0.8100,80579.05,81000.25
521,421.86,0.8097,80548.95,80970.81
522,422.50,0.8094,80515.65,80938.14
523,423.15,0.8091,80484.35,80907.49
524,424.42,0.8100,80572.28,80996.71
525,425.08,0.8097,80542.66,80967.74
526,425.75,0.8094,80515.44,80941.19
527,426.40,0.8091,80483.99,80910.39
528,427.65,0.8099,80566.24,80993.89
529,428.32,0.8097,80540.07,80968.40
530,429.08,0.8096,80528.97,80958.05
531,429.74,0.8093,80501.06,80930.80
532,431.03,0.8102,80589.19,81020.22
533,431.68,0.8099,80558.49,80990.16
534,432.35,0.8096,80531.61,80963.96
535,432.98,0.8093,80497.47,80930.45
536,434.27,0.8102,80587.08,81021.36
537,434.92,0.8099,80556.17,80991.10
538,435.58,0.8096,80526.96,80962.54
539,436.19,0.8093,80490.21,80926.40
540,437.48,0.8102,80577.57,81015.05
541,438.15,0.8099,80550.33,80988.48
542,438.80,0.8096,80520.11,80958.90
543,440.03,0.8104,80597.60,81037.64
544,440.79,0.8103,80586.27,81027.06
545,441.46,0.8100,80560.81,81002.28
546,442.12,0.8097,80532.21,80974.33
547,443.38,0.8106,80613.47,81056.85
548,444.12,0.8104,80599.56,81043.68
549,444.79,0.8102,80574.10,81018.90
550,445.43,0.8099,80541.30,80986.73
551,446.71,0.8107,80625.33,81072.04
552,447.36,0.8104,80595.68,81043.04
553,448.02,0.8102,80568.54,81016.56
554,448.67,0.8099,80539.07,80987.74
555,449.93,0.8107,80618.83,81068.77
556,450.58,0.8104,80588.41,81038.99
557,451.23,0.8101,80559.83,81011.07
558,451.90,0.8099,80533.37,80985.27
559,453.18,0.8107,80615.87,81069.04
560,453.85,0.8104,80590.20,81044.05
561,454.50,0.8102,80562.04,81016.55
562,455.15,0.8099,80532.18,80987.33
563,456.42,0.8107,80613.19,81069.61
564,457.09,0.8104,80587.45,81044.55
565,457.77,0.8102,80563.77,81021.54
566,458.41,0.8099,80532.14,80990.55
567,459.67,0.8107,80611.17,81070.85
568,460.31,0.8104,80580.80,81041.11
569,460.97,0.8101,80553.31,81014.28
570,461.62,0.8099,80523.71,80985.32
571,462.87,0.8106,80600.43,81063.30
572,463.52,0.8103,80570.80,81034.32
573,464.17,0.8101,80543.48,81007.66
574,464.81,0.8098,80512.78,80977.59
575,466.11,0.8106,80596.53,81062.64
576,466.77,0.8104,80570.10,81036.87
577,467.42,0.8101,80540.58,81008.00
578,468.05,0.8098,80510.24,80978.30
579,469.32,0.8106,80587.19,81056.51
580,469.96,0.8103,80557.18,81027.14
581,470.61,0.8100,80529.95,81000.56
582,471.23,0.8097,80495.45,80966.67
583,472.52,0.8105,80576.84,81049.36
584,473.17,0.8102,80548.72,81021.89
585,473.84,0.8100,80523.75,80997.59
586,475.07,0.8107,80595.07,81070.14
587,475.75,0.8105,80572.78,81048.53
588,476.41,0.8102,80544.99,81021.39
589,477.05,0.8099,80515.45,80992.49
590,478.33,0.8107,80593.84,81072.17
591,478.97,0.8104,80565.34,81044.31
592,479.62,0.8102,80536.54,81016.16
593,480.27,0.8099,80509.03,80989.29
594,481.53,0.8106,80583.39,81064.92
595,482.16,0.8104,80553.52,81035.69
596,482.83,0.8101,80528.24,81011.06
597,483.48,0.8098,80500.87,80984.35
598,484.75,0.8106,80576.88,81061.63
599,485.39,0.8103,80548.31,81033.70
600,486.04,0.8101,80520.78,81006.82
601,486.69,0.8098,80493.10,80979.79
602,487.94,0.8105,80565.45,81053.39
603,488.58,0.8102,80536.37,81024.95
604,489.23,0.8100,80509.01,80998.24
605,489.88,0.8097,80481.46,80971.34
606,491.13,0.8105,80554.19,81045.33
607,491.79,0.8102,80527.23,81019.02
608,492.45,0.8099,80502.01,80994.46
609,493.09,0.8097,80474.06,80967.15
610,494.32,0.8104,80540.94,81035.25
611,494.97,0.8101,80515.21,81010.18
612,495.62,0.8098,80487.24,80982.85
613,496.25,0.8095,80458.73,80954.99
614,497.55,0.8103,80535.99,81033.54
615,498.22,0.8101,80513.08,81011.30
616,498.87,0.8099,80486.53,80985.40
617,499.52,0.8096,80459.69,80959.21
618,500.81,0.8104,80536.33,81037.14
619,501.46,0.8101,80509.81,81011.27
620,502.11,0.8098,80482.66,80984.77
621,502.74,0.8096,80454.07,80956.81
622,504.01,0.8103,80527.15,81031.16
623,504.67,0.8101,80501.75,81006.42
624,505.32,0.8098,80475.34,80980.66
625,506.57,0.8105,80545.32,81051.90
626,507.22,0.8103,80519.06,81026.29
627,507.90,0.8101,80497.34,81005.24
628,508.55,0.8098,80470.67,80979.22
629,509.81,0.8105,80541.15,81050.96
630,510.47,0.8103,80516.60,81027.07
631,511.12,0.8100,80490.58,81001.70
632,511.78,0.8098,80466.75,80978.53
