iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
13610,204.67,0.0150,1299.18,1503.85
13611,205.44,0.0151,1303.94,1509.39
13612,206.20,0.0151,1308.66,1514.86
13613,206.95,0.0152,1313.26,1520.20
13614,208.33,0.0153,1321.96,1530.29
13615,209.10,0.0154,1326.69,1535.78
13616,209.88,0.0154,1331.52,1541.40
13617,210.63,0.0155,1336.19,1546.82
13618,212.00,0.0156,1344.79,1556.80
13619,212.77,0.0156,1349.53,1562.30
13620,213.53,0.0157,1354.24,1567.77
13621,214.28,0.0157,1358.85,1573.12
13622,215.64,0.0158,1367.39,1583.03
13623,216.41,0.0159,1372.14,1588.55
13624,217.20,0.0159,1377.05,1594.25
13625,217.94,0.0160,1381.60,1599.53
13626,219.33,0.0161,1390.31,1609.64
13627,220.09,0.0162,1395.01,1615.11
13628,220.87,0.0162,1399.82,1620.68
13629,221.62,0.0163,1404.44,1626.06
13630,222.99,0.0164,1413.06,1636.06
13631,223.73,0.0164,1417.63,1641.36
13632,224.51,0.0165,1422.40,1646.91
13633,225.27,0.0165,1427.09,1652.35
13634,226.68,0.0166,1435.96,1662.64
13635,227.47,0.0167,1440.80,1668.27
13636,228.24,0.0167,1445.59,1673.84
13637,229.58,0.0168,1453.95,1683.53
13638,230.37,0.0169,1458.78,1689.14
13639,231.14,0.0169,1463.53,1694.67
13640,231.91,0.0170,1468.29,1700.19
13641,233.27,0.0171,1476.80,1710.08
13642,234.03,0.0172,1481.51,1715.54
13643,234.81,0.0172,1486.27,1721.07
13644,235.56,0.0173,1490.92,1726.48
13645,236.90,0.0174,1499.28,1736.18
13646,237.68,0.0174,1504.05,1741.72
13647,238.42,0.0175,1508.61,1747.02
13648,239.17,0.0175,1513.28,1752.45
13649,240.52,0.0176,1521.64,1762.16
13650,241.28,0.0177,1526.36,1767.64
13651,242.04,0.0177,1531.04,1773.09
13652,242.79,0.0178,1535.64,1778.43
13653,244.15,0.0179,1544.11,1788.26
13654,244.92,0.0179,1548.87,1793.79
13655,245.69,0.0180,1553.61,1799.30
13656,246.45,0.0180,1558.22,1804.67
13657,247.81,0.0181,1566.70,1814.51
13658,248.59,0.0182,1571.53,1820.13
13659,249.36,0.0183,1576.27,1825.63
13660,250.13,0.0183,1580.95,1831.08
13661,251.50,0.0184,1589.48,1840.98
13662,252.28,0.0185,1594.28,1846.56
13663,253.06,0.0185,1599.12,1852.18
13664,253.81,0.0186,1603.73,1857.54
13665,255.21,0.0187,1612.42,1867.63
13666,255.99,0.0187,1617.17,1873.15
13667,256.77,0.0188,1621.99,1878.76
13668,257.52,0.0188,1626.60,1884.12
13669,258.93,0.0189,1635.33,1894.26
13670,259.69,0.0190,1640.05,1899.74
13671,260.46,0.0191,1644.77,1905.23
13672,261.21,0.0191,1649.36,1910.57
13673,262.59,0.0192,1657.92,1920.52
13674,263.39,0.0193,1662.79,1926.18
13675,264.15,0.0193,1667.50,1931.65
13676,264.89,0.0194,1671.98,1936.87
13677,266.31,0.0195,1680.81,1947.12
13678,267.09,0.0195,1685.62,1952.71
13679,267.86,0.0196,1690.32,1958.17
13680,269.22,0.0197,1698.79,1968.02
13681,269.99,0.0197,1703.51,1973.50
13682,270.83,0.0198,1708.62,1979.45
13683,271.64,0.0199,1713.59,1985.23
13684,273.03,0.0200,1722.20,1995.23
13685,273.81,0.0200,1726.98,2000.78
13686,274.59,0.0201,1731.78,2006.37
13687,275.36,0.0201,1736.45,2011.80
13688,276.70,0.0202,1744.81,2021.51
13689,277.48,0.0203,1749.57,2027.05
13690,278.24,0.0203,1754.22,2032.46
13691,279.01,0.0204,1758.90,2037.91
13692,280.38,0.0205,1767.41,2047.80
13693,281.13,0.0205,1771.99,2053.12
13694,281.90,0.0206,1776.64,2058.53
13695,282.65,0.0206,1781.25,2063.90
13696,284.03,0.0207,1789.79,2073.82
13697,284.79,0.0208,1794.45,2079.25
13698,285.57,0.0208,1799.20,2084.77
13699,286.31,0.0209,1803.68,2089.99
13700,287.75,0.0210,1812.64,2100.40
13701,288.52,0.0211,1817.34,2105.86
13702,289.31,0.0211,1822.13,2111.44
13703,290.07,0.0212,1826.75,2116.82
13704,291.43,0.0213,1835.18,2126.61
13705,292.20,0.0213,1839.86,2132.06
13706,292.97,0.0214,1844.53,2137.50
13707,293.73,0.0214,1849.16,2142.88
13708,295.13,0.0215,1857.85,2152.98
13709,295.92,0.0216,1862.67,2158.59
13710,296.70,0.0216,1867.39,2164.08
13711,297.46,0.0217,1872.06,2169.52
13712,298.86,0.0218,1880.69,2179.55
13713,299.67,0.0219,1885.63,2185.30
13714,300.47,0.0219,1890.51,2190.99
13715,301.25,0.0220,1895.26,2196.51
13716,302.68,0.0221,1904.07,2206.74
13717,303.47,0.0221,1908.86,2212.33
13718,304.25,0.0222,1913.63,2217.88
13719,305.02,0.0222,1918.32,2223.34
13720,306.41,0.0223,1926.91,2233.32
13721,307.21,0.0224,1931.75,2238.96
13722,307.98,0.0224,1936.46,2244.45
13723,309.34,0.0225,1944.84,2254.18
13724,310.12,0.0226,1949.54,2259.66
13725,310.91,0.0227,1954.34,2265.25
13726,311.72,0.0227,1959.27,2270.99
13727,313.10,0.0228,1967.78,2280.87
13728,313.88,0.0229,1972.52,2286.40
13729,314.65,0.0229,1977.21,2291.86
13730,315.43,0.0230,1981.97,2297.41
13731,316.82,0.0231,1990.54,2307.37
13732,317.61,0.0231,1995.32,2312.93
13733,318.39,0.0232,2000.01,2318.39
13734,319.14,0.0232,2004.55,2323.69
13735,320.51,0.0233,2013.01,2333.52
13736,321.32,0.0234,2017.92,2339.24
13737,322.18,0.0235,2023.15,2345.33
13738,323.80,0.0236,2033.19,2357.00
13739,325.93,0.0237,2046.34,2372.26
13740,327.47,0.0238,2055.86,2383.33
13741,329.04,0.0239,2065.54,2394.57
13742,330.66,0.0241,2075.57,2406.23
13743,332.78,0.0242,2088.66,2421.43
13744,334.18,0.0243,2097.31,2431.49
13745,335.73,0.0244,2106.81,2442.54
13746,337.24,0.0245,2116.10,2453.33
13747,339.29,0.0247,2128.84,2468.14
13748,340.72,0.0248,2137.57,2478.29
13749,342.28,0.0249,2147.24,2489.52
13750,343.85,0.0250,2156.90,2500.75
13751,345.94,0.0252,2169.83,2515.78
13752,346.74,0.0252,2174.66,2521.40
13753,347.53,0.0253,2179.41,2526.94
13754,348.30,0.0253,2184.02,2532.32
13755,349.74,0.0254,2192.91,2542.66
13756,350.58,0.0255,2197.99,2548.57
13757,351.42,0.0255,2203.03,2554.45
13758,352.17,0.0256,2207.56,2559.72
13759,353.60,0.0257,2216.38,2569.99
13760,354.36,0.0258,2220.94,2575.30
13761,355.13,0.0258,2225.58,2580.71
